cell_id,row,col,corner_index,source_lon,source_lat,theta_rad,theta_deg,rho_unclipped,R,annulus_x,annulus_y
123,11,10,4,116.2000000000,40.5000000000,2.4232614993,138.842657,0.6544504020,1.5562828417,-1.1717332777,1.0242350362
124,11,11,1,116.3000060000,40.4000000000,2.5612865051,146.750907,0.3297244591,1.2802657903,-1.0706796665,0.7019441184
124,11,11,2,116.4000060000,40.4000000000,2.2223318711,127.330237,0.2729951139,1.2320458468,-0.7471225980,0.9796656533
124,11,11,3,116.4000060000,40.5000000000,1.9350903245,110.872509,0.4119373593,1.3501467554,-0.4810433987,1.2615440974
124,11,11,4,116.3000060000,40.5000000000,2.2223439265,127.330928,0.5459993264,1.4640994275,-0.8878558067,1.1641731830
125,11,12,1,116.4000000000,40.4000000000,2.2223608035,127.331895,0.2730027562,1.2320523428,-0.7471548811,0.9796492020
125,11,12,2,116.5000000000,40.4000000000,1.5707963268,90.000000,0.1468084255,1.1247871617,0.0000000000,1.1247871617
125,11,12,3,116.5000000000,40.5000000000,1.5707963268,90.000000,0.2936183191,1.2495755712,0.0000000000,1.2495755712
125,11,12,4,116.4000000000,40.5000000000,1.9351103000,110.873653,0.4119260325,1.3501371276,-0.4810651682,1.2615254921
126,11,13,1,116.5000000000,40.4000000000,1.5707963268,90.000000,0.1468084255,1.1247871617,0.0000000000,1.1247871617
126,11,13,2,116.6000000000,40.4000000000,0.9192318501,52.668105,0.2287041535,1.1943985305,0.7243204376,0.9497092994
126,11,13,3,116.6000000000,40.5000000000,1.2064823535,69.126347,0.3507031689,1.2980976935,0.4625230819,1.2129014884
126,11,13,4,116.5000000000,40.5000000000,1.5707963268,90.000000,0.2936183191,1.2495755712,0.0000000000,1.2495755712
127,11,14,1,116.5999940000,40.4000000000,0.9192607825,52.669763,0.2286973063,1.1943927104,0.7242894306,0.9497256274
127,11,14,2,116.6999940000,40.4000000000,0.5803061485,33.249093,0.2667630027,1.2267485523,1.0259234769,0.6726016876
127,11,14,3,116.6999940000,40.5000000000,0.9192487271,52.669072,0.4574026057,1.3887922148,0.8421881801,1.1042929346
127,11,14,4,116.5999940000,40.5000000000,1.2065023291,69.127491,0.3506972824,1.2980926900,0.4624970707,1.2129060522
128,11,15,1,116.7000000000,40.4000000000,0.5802923927,33.248305,0.2667664864,1.2267515135,1.0259352054,0.6725891986
128,11,15,2,116.8000000000,40.4000000000,0.4120390721,23.608100,0.3285123456,1.2792354938,1.1721713165,0.5123064057
128,11,15,3,116.8000000000,40.5000000000,0.7183311543,41.157343,0.5006236032,1.4255300627,1.0732888445,0.9381828266
128,11,15,4,116.7000000000,40.5000000000,0.9192342611,52.668244,0.4574094529,1.3887980350,0.8422076842,1.1042853792
129,11,16,1,116.8000060000,40.4000000000,0.4120317330,23.607679,0.3285178453,1.2792401685,1.1721793599,0.5122996751
129,11,16,2,116.9000060000,40.4000000000,0.3167517487,18.148538,0.5508404594,1.4682143905,1.3951739543,0.4573216960
129,11,16,3,116.9000060000,40.5000000000,0.5802878076,33.248042,0.5335379630,1.4535072686,1.2155752361,0.7969066602
129,11,16,4,116.8000060000,40.5000000000,0.7183212442,41.156776,0.5006240505,1.4255304429,1.0732984281,0.9381724404
130,11,17,1,116.9000000000,40.4000000000,0.3167561885,18.148793,0.5508337947,1.4682087255,1.3951665407,0.4573261257
130,11,17,2,117.0000000000,40.4000000000,0.2564599968,14.694075,0.6619123618,1.5626255076,1.5115182574,0.3963723432
130,11,17,3,117.0000000000,40.5000000000,0.4830328135,27.675742,0.5279770733,1.4487805123,1.2830260490,0.6729109380
130,11,17,4,116.9000000000,40.5000000000,0.5802946853,33.248436,0.5335344793,1.4535043074,1.2155672788,0.7969133971
131,11,18,1,117.0000000000,40.4000000000,0.2564599968,14.694075,0.6619123618,1.5626255076,1.5115182574,0.3963723432
131,11,18,2,117.1000000000,40.4000000000,0.2151466008,12.326992,0.8084089398,1.6871475988,1.6482505911,0.3601902402
131,11,18,3,117.1000000000,40.5000000000,0.4120409069,23.608205,0.6570252265,1.5584714425,1.4280357811,0.6241370403
131,11,18,4,117.0000000000,40.5000000000,0.4830328135,27.675742,0.5279770733,1.4487805123,1.2830260490,0.6729109380
132,11,19,1,117.0999940000,40.4000000000,0.2151486865,12.327112,0.8083989618,1.6871391175,1.6482415541,0.3601918672
132,11,19,2,117.1999940000,40.4000000000,0.1851663423,10.609250,0.9570077182,1.8134565605,1.7824566793,0.3338755506
132,11,19,3,117.1999940000,40.5000000000,0.3584426529,20.537251,0.9247183101,1.7860105636,1.6724994152,0.6265616007
132,11,19,4,117.0999940000,40.5000000000,0.4120445765,23.608415,0.6570197268,1.5584667678,1.4280292072,0.6241404085
133,11,20,1,117.2000000000,40.4000000000,0.1851647912,10.609161,0.9570161827,1.8134637553,1.7824642690,0.3338741104
133,11,20,2,117.3000000000,40.4000000000,0.1624522800,9.307830,1.0980912601,1.9333775711,1.9079219921,0.3127019418
133,11,20,3,117.3000000000,40.5000000000,0.3167576684,18.148878,1.1016686545,1.9364183563,1.8400822322,0.6031694865
133,11,20,4,117.2000000000,40.5000000000,0.3584398371,20.537090,0.9247806542,1.7860635561,1.6725508041,0.6265754816
134,12,6,1,115.8000060000,40.5000000000,2.7831500006,159.462749,0.9246181506,1.7859254280,-1.6724196904,0.6265317338
134,12,6,2,115.9000060000,40.5000000000,2.7295480770,156.391585,0.8197176378,1.6967599921,-1.5547478307,0.6795245793
134,12,6,3,115.9000060000,40.6000000000,2.5612926189,146.751257,0.9891886343,1.8408103391,-1.5394663475,1.0092700677
134,12,6,4,115.8000060000,40.6000000000,2.6296288565,150.666635,1.0436890355,1.8871356801,-1.6451749641,0.9244892713
135,12,7,1,115.9000000000,40.5000000000,2.7295517467,156.391795,0.8197215076,1.6967632815,-1.5547533383,0.6795201912
135,12,7,2,116.0000000000,40.5000000000,2.6585598401,152.324258,0.7384355198,1.6276701918,-1.4414490239,0.7559993155
135,12,7,3,116.0000000000,40.6000000000,2.4750087093,141.807553,1.0256461483,1.8717992260,-1.4711189097,1.1573424282
135,12,7,4,115.9000000000,40.6000000000,2.5612972041,146.751520,0.9891951310,1.8408158613,-1.5394755935,1.0092660366
136,12,8,1,116.0000000000,40.5000000000,2.6585598401,152.324258,0.7384355198,1.6276701918,-1.4414490239,0.7559993155
136,12,8,2,116.1000000000,40.5000000000,2.5612979683,146.751564,0.6594630434,1.5605435869,-1.3050843480,0.8555998663
136,12,8,3,116.1000000000,40.6000000000,2.3645707766,135.479926,0.9377070110,1.7970509593,-1.2813060225,1.2600186614
136,12,8,4,116.0000000000,40.6000000000,2.4750087093,141.807553,1.0256461483,1.8717992260,-1.4711189097,1.1573424282
137,12,9,1,116.0999940000,40.5000000000,2.5613048460,146.751958,0.6594695401,1.5605491091,-1.3050948508,0.8555939179
137,12,9,2,116.1999940000,40.5000000000,2.4232714094,138.843224,0.6544556784,1.5562873266,-1.1717468046,1.0242263758
137,12,9,3,116.1999940000,40.6000000000,2.2223672326,127.332263,0.8190188236,1.6961660001,-1.0286165166,1.3486760774
